,JKD Percent Change,IJH Percent Change,IJR Percent Change,JKF Percent Change,IJS Percent Change,ICF Percent Change,EFA Percent Change,SCZ Percent Change,EEM Percent Change,SHV Percent Change,IAU Percent Change
JKD Percent Change,1.0,0.905678306855184,0.8629471382812266,0.9269104258027745,0.8574639913893649,0.7316799442877724,0.8510831565314133,0.8172722175061443,0.8021384150179429,-0.03426058527623823,-0.003042849186084016
IJH Percent Change,0.905678306855184,1.0,0.9616320163941061,0.8891032696540568,0.9520249884552697,0.7550070112051348,0.8320387125400677,0.8135651706915631,0.7976896762470365,-0.027697717840356594,0.01597422270761447
IJR Percent Change,0.8629471382812266,0.9616320163941061,1.0,0.8488176989421251,0.9909753182748009,0.7165970509178429,0.7955569381000092,0.7764709819878046,0.7547542384461156,-0.015278165498002427,0.007175718764359976
JKF Percent Change,0.9269104258027745,0.8891032696540568,0.8488176989421251,1.0,0.8543106615747309,0.7062850544480483,0.8523751893554748,0.814105502458588,0.799175755556809,-0.037486245791643766,0.024707646386071352
IJS Percent Change,0.8574639913893649,0.9520249884552697,0.9909753182748009,0.8543106615747309,1.0,0.7183809462860794,0.793633433073165,0.7739037972984261,0.7546988121496386,-0.01158864441787035,0.016550212311822268
ICF Percent Change,0.7316799442877724,0.7550070112051348,0.7165970509178429,0.7062850544480483,0.7183809462860794,1.0,0.671639217991343,0.6671511032970746,0.6529638147853348,0.004278020510845999,0.0823640224562747
EFA Percent Change,0.8510831565314133,0.8320387125400677,0.7955569381000092,0.8523751893554748,0.793633433073165,0.671639217991343,1.0,0.9569994839265619,0.8671872595081793,-0.02755906009570136,0.08061890348260517
SCZ Percent Change,0.8172722175061443,0.8135651706915631,0.7764709819878046,0.814105502458588,0.7739037972984261,0.6671511032970746,0.9569994839265619,1.0,0.8454019532883071,-0.024381400814984733,0.10023842843428035
EEM Percent Change,0.8021384150179429,0.7976896762470365,0.7547542384461156,0.799175755556809,0.7546988121496386,0.6529638147853348,0.8671872595081793,0.8454019532883071,1.0,-0.02546682724465017,0.13726954712478062
SHV Percent Change,-0.03426058527623823,-0.027697717840356594,-0.015278165498002427,-0.037486245791643766,-0.01158864441787035,0.004278020510845999,-0.02755906009570136,-0.024381400814984733,-0.02546682724465017,1.0,0.06376983287568583
IAU Percent Change,-0.003042849186084016,0.01597422270761447,0.007175718764359976,0.024707646386071352,0.016550212311822268,0.0823640224562747,0.08061890348260517,0.10023842843428035,0.13726954712478062,0.06376983287568583,1.0
